City,Country,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Date
Port Elizabeth,ZA,-33.92,25.57,4.0,86,0,2.6,07/15/20
Vardø,NO,70.37,31.11,12.41,71,22,4.69,07/15/20
Bandarbeyla,SO,9.49,50.81,27.76,60,10,11.92,07/15/20
Nyurba,RU,63.28,118.33,25.99,72,100,2.07,07/15/20
Kalmunai,LK,7.42,81.82,27.26,78,100,3.52,07/15/20
New Kensington,US,40.57,-79.76,26.67,60,13,1.34,07/15/20
Anadyr,RU,64.75,177.48,16.0,77,20,6.0,07/15/20
Portland,US,45.52,-122.68,30.0,37,1,6.2,07/15/20
Cape Town,ZA,-33.93,18.42,7.0,81,0,1.5,07/15/20
Pimentel,PE,-6.84,-79.93,16.63,89,17,5.69,07/15/20
Dabat,ET,12.98,37.77,12.46,89,59,0.99,07/15/20
Jiangkou,CN,25.49,119.2,31.0,70,77,4.0,07/15/20
Khatanga,RU,71.97,102.5,12.67,81,100,3.7,07/15/20
Vila,PT,42.03,-8.16,17.22,80,8,1.34,07/15/20
Pemangkat,ID,1.17,108.97,27.55,73,99,2.25,07/15/20
Comodoro Rivadavia,AR,-45.87,-67.5,3.0,74,75,2.1,07/15/20
Sakakah,SA,29.97,40.21,32.0,15,0,2.6,07/15/20
Kavieng,PG,-2.57,150.8,29.19,65,18,1.63,07/15/20
Marsh Harbour,BS,26.54,-77.06,28.54,73,2,3.83,07/15/20
Maltahöhe,NA,-24.83,16.98,1.74,67,0,3.48,07/15/20
Luanda,AO,-8.84,13.23,21.0,94,40,0.5,07/15/20
Puerto del Rosario,ES,28.5,-13.86,22.0,88,75,7.7,07/15/20
Ponta Delgada,PT,37.73,-25.67,19.0,72,40,5.1,07/15/20
Tanout,NE,14.97,8.89,30.12,45,0,4.51,07/15/20
Rocha,UY,-34.48,-54.33,3.78,77,0,2.3,07/15/20
Baturaja,ID,-4.13,104.17,26.92,85,60,1.18,07/15/20
Acapulco de Juárez,MX,16.86,-99.89,29.0,79,75,1.5,07/15/20
Hvide Sande,DK,56.0,8.13,11.11,79,15,3.32,07/15/20
Haines Junction,CA,60.75,-137.51,17.49,47,61,4.34,07/15/20
Burnie,AU,-41.07,145.92,13.89,50,0,2.24,07/15/20
Upernavik,GL,72.79,-56.15,5.94,89,64,0.62,07/15/20
Willowmore,ZA,-33.29,23.49,3.11,63,16,1.63,07/15/20
Ilulissat,GL,69.22,-51.1,7.0,75,52,2.6,07/15/20
Salalah,OM,17.02,54.09,27.0,94,90,2.1,07/15/20
Kiryat Gat,IL,31.61,34.76,23.33,71,1,1.34,07/15/20
Kaiu,EE,59.01,25.06,17.0,72,100,2.6,07/15/20
Lata,PT,40.16,-8.33,24.44,77,0,1.0,07/15/20
Mirny,RU,62.54,113.96,18.0,82,75,7.0,07/15/20
Puro,PH,12.48,123.38,29.85,70,99,5.1,07/15/20
Sabang,ID,5.89,95.32,28.38,72,99,1.86,07/15/20
Hilo,US,19.73,-155.09,29.0,58,40,5.1,07/15/20
Pinsk,BY,52.12,26.1,12.3,90,0,0.94,07/15/20
Ostrovnoy,RU,68.05,39.51,11.79,76,1,4.58,07/15/20
Villa Carlos Paz,AR,-31.42,-64.5,10.56,61,11,4.1,07/15/20
Bhīm Tāl,IN,29.35,79.57,20.37,95,56,0.63,07/15/20
Hamilton,US,39.18,-84.53,28.33,54,75,1.5,07/15/20
Strezhevoy,RU,60.73,77.59,21.0,77,0,2.0,07/15/20
Padang,ID,-0.95,100.35,29.15,61,15,0.74,07/15/20
Khanbari,NP,27.37,87.2,25.28,73,84,0.3,07/15/20
Gorontalo,ID,0.54,123.06,28.27,82,96,2.3,07/15/20
La Santisima Trinidad,BO,-14.83,-64.9,23.5,73,0,1.19,07/15/20
Tuktoyaktuk,CA,69.45,-133.04,16.0,55,75,4.6,07/15/20
Waipawa,NZ,-41.41,175.52,10.0,63,100,4.02,07/15/20
Tilichiki,RU,60.47,166.1,12.24,82,91,2.7,07/15/20
Sieradz,PL,51.6,18.73,15.56,85,100,2.11,07/15/20
Bairiki Village,KI,1.33,172.98,30.0,66,75,2.6,07/15/20
Tiarei,PF,-17.53,-149.33,26.0,83,75,2.6,07/15/20
Nanortalik,GL,60.14,-45.24,5.68,88,8,3.06,07/15/20
Nikolskoye,RU,59.7,30.79,15.0,72,83,4.0,07/15/20
San Carlos,VE,9.66,-68.58,23.14,93,9,1.06,07/15/20
Timberlake,US,37.32,-79.26,26.67,69,1,2.01,07/15/20
Aste,IT,45.79,11.1,19.44,98,71,3.13,07/15/20
Hithadhoo,MV,-0.6,73.08,28.59,71,80,1.22,07/15/20
Yangi Marg`ilon,UZ,40.43,71.72,25.0,36,100,1.0,07/15/20
Hauterive,FR,46.09,3.45,16.0,82,90,1.5,07/15/20
Thompson,CA,55.74,-97.86,17.0,93,75,4.6,07/15/20
Xam Nua,LA,20.42,104.04,27.19,64,92,0.85,07/15/20
Baykit,RU,61.67,96.37,14.76,55,45,4.5,07/15/20
Sulangan,PH,11.14,123.72,28.75,73,100,5.39,07/15/20
Taltal,CL,-25.4,-70.48,14.42,62,0,1.51,07/15/20
Buala,SB,-8.14,159.59,26.43,80,100,4.79,07/15/20
Inverell,AU,-29.78,151.12,15.56,51,0,2.68,07/15/20
Spirit River,CA,55.78,-118.84,20.56,55,90,8.2,07/15/20
Lienz,AT,46.83,12.77,12.22,97,100,1.83,07/15/20
Clyde River,CA,70.47,-68.59,18.0,42,20,2.6,07/15/20
Jamestown,US,42.1,-79.24,24.0,57,1,2.09,07/15/20
Tabou,CI,4.42,-7.35,23.66,76,100,2.93,07/15/20
Barrow,US,71.29,-156.79,7.0,75,1,4.6,07/15/20
Ayagoz,KZ,47.97,80.44,20.26,66,0,6.18,07/15/20
Areosa,PT,41.72,-8.86,26.11,53,0,3.1,07/15/20
Ribeira Grande,PT,38.52,-28.7,20.48,80,85,1.79,07/15/20
Poum,NC,-20.23,164.02,21.58,61,0,6.43,07/15/20
Mnogovershinnyy,RU,53.94,139.92,23.36,60,80,1.3,07/15/20
Chilca,PE,-12.52,-76.74,15.0,87,90,4.6,07/15/20
Redlands,US,34.06,-117.18,32.0,25,5,6.2,07/15/20
Alpena,US,45.06,-83.43,20.0,94,90,6.2,07/15/20
Domoni,KM,-12.26,44.53,23.39,78,70,8.5,07/15/20
Kaoma,ZM,-14.78,24.8,10.4,44,0,3.93,07/15/20
Saint Anthony,US,45.02,-93.22,25.56,38,1,1.5,07/15/20
Yerbogachën,RU,61.28,108.01,14.54,70,83,4.95,07/15/20
Vaini,TO,-21.2,-175.2,26.0,74,75,4.1,07/15/20
Stann Creek Town,BZ,16.97,-88.23,29.44,82,2,3.13,07/15/20
Ponta do Sol,PT,32.67,-17.1,21.0,68,40,4.1,07/15/20
Saint-Philippe,RE,-21.36,55.77,18.0,72,36,1.5,07/15/20
Port Said,EG,31.26,32.28,26.0,74,40,4.6,07/15/20
Borba,BR,-4.39,-59.59,24.31,66,25,0.88,07/15/20
Celestún,MX,20.87,-90.4,29.26,73,1,6.92,07/15/20
Olafsvik,IS,64.89,-23.71,10.35,92,100,7.86,07/15/20
Saskylakh,RU,71.92,114.08,15.8,41,96,8.6,07/15/20
Pisco,PE,-13.7,-76.22,16.0,87,90,3.1,07/15/20
Baghdad,IQ,33.34,44.4,28.0,30,0,4.1,07/15/20
Bengkulu,ID,-3.8,102.27,28.63,67,70,1.56,07/15/20
Mayor Pablo Lagerenza,PY,-19.93,-60.77,23.49,60,45,1.77,07/15/20
Butaritari,KI,3.07,172.79,28.28,70,100,4.65,07/15/20
Jumla,NP,29.27,82.18,19.81,61,3,1.12,07/15/20
Pitimbu,BR,-7.47,-34.81,24.0,94,40,3.1,07/15/20
Terrace,CA,54.52,-128.6,14.0,93,90,9.3,07/15/20
Abu Samrah,SY,35.3,37.18,21.88,61,0,3.21,07/15/20
Yārāda,IN,17.65,83.27,26.0,100,90,3.1,07/15/20
Turaif,SA,31.67,38.66,25.0,41,0,5.7,07/15/20
Palāsbāri,IN,26.14,91.55,29.0,100,75,2.1,07/15/20
Mossamedes,AO,-15.2,12.15,18.02,84,0,3.72,07/15/20
Urcos,PE,-13.69,-71.62,9.37,71,88,1.9,07/15/20
Hofn,IS,64.25,-15.21,10.57,93,100,6.2,07/15/20
Kandry,RU,54.57,54.12,22.03,69,18,1.07,07/15/20
Mar del Plata,AR,-38.0,-57.56,8.33,80,0,2.6,07/15/20
Chadan,RU,51.28,91.58,17.59,56,16,1.24,07/15/20
Paita,PE,-5.09,-81.11,17.0,85,0,5.25,07/15/20
Villamontes,BO,-21.25,-63.5,16.79,50,48,0.8,07/15/20
Geraldton,AU,-28.77,114.6,16.0,82,75,3.6,07/15/20
Maniwaki,CA,46.38,-75.97,18.48,84,96,2.01,07/15/20
Hong Kong,HK,22.29,114.16,32.78,66,75,6.71,07/15/20
Nador,MA,35.17,-2.93,24.0,88,90,3.1,07/15/20
Shelburne,CA,44.08,-80.2,23.0,60,1,3.1,07/15/20
New Norfolk,AU,-42.78,147.06,10.56,86,100,0.15,07/15/20
Cabo San Lucas,MX,22.89,-109.91,30.0,55,5,5.1,07/15/20
Guiglo,CI,6.55,-7.5,19.6,96,100,1.41,07/15/20
Talcahuano,CL,-36.72,-73.12,11.0,100,100,4.1,07/15/20
Arrondissement de Bergerac,FR,44.83,0.5,12.0,93,3,0.5,07/15/20
Belmopan,BZ,17.25,-88.77,27.22,77,7,1.18,07/15/20
Qaanaaq,GL,77.48,-69.36,5.26,86,100,3.24,07/15/20
Valle de Allende,MX,26.93,-105.4,28.5,20,2,4.21,07/15/20
Dingle,PH,11.0,122.67,27.98,80,97,2.98,07/15/20
Bandundu Province,CD,-3.32,17.37,24.06,75,42,1.12,07/15/20
Avarua,CK,-21.21,-159.78,23.0,60,90,5.1,07/15/20
Cherskiy,RU,68.75,161.3,8.1,64,97,2.8,07/15/20
Clovis,US,36.83,-119.7,36.11,22,20,4.1,07/15/20
Isfahan,IR,32.66,51.68,20.0,42,40,3.1,07/15/20
Mahébourg,MU,-20.41,57.7,20.0,88,75,5.1,07/15/20
Bose,IT,45.46,8.01,17.78,83,15,2.24,07/15/20
Fairbanks,US,64.84,-147.72,22.0,40,75,4.6,07/15/20
Burgeo,CA,47.62,-57.62,11.65,81,100,6.92,07/15/20
Linxia Chengguanzhen,CN,35.6,103.21,23.03,50,57,2.79,07/15/20
Saint Lawrence,MT,36.06,14.2,25.0,83,13,2.1,07/15/20
Balakhninskiy,RU,58.01,114.28,22.36,69,92,2.32,07/15/20
Egvekinot,RU,66.32,-179.17,11.6,79,55,2.53,07/15/20
Mahon,ES,39.89,4.27,23.0,69,0,4.1,07/15/20
Bethel,US,41.37,-73.41,21.0,83,20,4.1,07/15/20
Derzhavīnsk,KZ,51.1,66.32,22.05,54,0,4.86,07/15/20
Norman Wells,CA,65.28,-126.83,20.0,56,90,5.1,07/15/20
Dengzhou,CN,37.81,120.75,29.44,54,6,1.8,07/15/20
Yellowknife,CA,62.46,-114.35,18.0,59,20,5.7,07/15/20
Fort Nelson,CA,58.81,-122.7,22.0,46,75,1.5,07/15/20
Ol'ga,RU,43.74,135.29,23.24,61,4,3.79,07/15/20
Ţahţā,EG,26.77,31.5,29.0,35,0,6.2,07/15/20
Mogapi,BW,-22.32,27.83,4.03,71,4,3.51,07/15/20
Kenora,CA,49.82,-94.43,19.0,72,75,3.1,07/15/20
Torbay,CA,47.67,-52.73,10.0,100,90,7.2,07/15/20
Rosetta,EG,31.4,30.42,24.0,73,20,5.1,07/15/20
Barra Velha,BR,-26.63,-48.68,15.0,67,75,2.6,07/15/20
Agua Verde,MX,22.9,-106.05,30.56,74,40,3.6,07/15/20
Maridi,SS,4.92,29.47,18.79,93,100,0.34,07/15/20
Lerwick,GB,60.15,-1.15,12.0,93,72,3.6,07/15/20
Colón,PA,9.36,-79.9,27.78,78,4,3.58,07/15/20
Kumluca,TR,36.37,30.29,26.16,43,0,0.82,07/15/20
Airai,TL,-8.93,125.41,20.7,68,51,2.29,07/15/20
La Tuque,CA,47.43,-72.78,15.88,67,100,1.72,07/15/20
Sechura,PE,-5.56,-80.82,18.07,79,0,5.66,07/15/20
Saint Paul Harbor,US,57.79,-152.41,23.0,43,40,2.1,07/15/20
Ouésso,CG,1.61,16.05,20.72,95,100,0.6,07/15/20
Morón,AR,-34.65,-58.62,11.11,71,47,3.59,07/15/20
Narsaq,GL,60.92,-46.05,9.0,70,0,2.6,07/15/20
Yeppoon,AU,-23.13,150.73,19.0,29,0,7.7,07/15/20
Lompoc,US,34.64,-120.46,18.0,72,9,5.7,07/15/20
Saint-Leu,RE,-21.15,55.28,18.0,72,9,1.5,07/15/20
La Libertad,EC,-2.23,-80.9,20.44,88,98,2.74,07/15/20
Laguna,US,38.42,-121.42,33.0,31,1,6.2,07/15/20
Yumen,CN,40.28,97.2,25.46,18,12,3.99,07/15/20
Mankera,PK,31.39,71.44,38.06,29,0,6.01,07/15/20
Tynda,RU,55.17,124.72,28.28,50,32,1.1,07/15/20
Salinópolis,BR,-0.61,-47.36,25.94,84,0,5.77,07/15/20
Lüderitz,NA,-26.65,15.16,23.0,11,0,9.8,07/15/20
Los Llanos de Aridane,ES,28.66,-17.92,22.0,73,90,5.1,07/15/20
Pochutla,MX,15.74,-96.47,24.72,88,100,1.25,07/15/20
Nanyang,CN,32.99,112.53,24.44,78,88,1.02,07/15/20
Laas,IT,46.62,10.7,11.67,87,40,1.6,07/15/20
Shingū,JP,33.73,135.98,26.0,69,75,2.6,07/15/20
Barguzin,RU,53.62,109.62,16.88,82,100,3.86,07/15/20
Tsabong,BW,-26.02,22.4,3.94,61,0,4.5,07/15/20
Solnechnyy,RU,50.72,136.63,26.83,64,66,2.26,07/15/20
Margate,GB,51.38,1.39,16.11,95,98,0.45,07/15/20
Chumikan,RU,54.72,135.31,23.39,61,99,0.91,07/15/20
Leningradskiy,RU,69.38,178.42,8.85,74,98,7.2,07/15/20
Hokitika,NZ,-42.72,170.97,11.44,50,100,1.91,07/15/20
Huarmey,PE,-10.07,-78.15,16.31,85,68,4.2,07/15/20
Beringovskiy,RU,63.05,179.32,13.25,74,0,2.73,07/15/20
Alice Springs,AU,-23.7,133.88,14.0,44,0,7.2,07/15/20
Wanning,CN,18.8,110.4,31.07,69,8,6.27,07/15/20
Chalchihuites,MX,23.48,-103.88,19.84,54,98,3.05,07/15/20
Río Gallegos,AR,-51.62,-69.22,-3.0,92,75,3.6,07/15/20
Chokwé,MZ,-24.53,32.98,13.07,68,70,3.61,07/15/20
Huambo,AO,-12.78,15.74,7.64,49,0,1.99,07/15/20
Herat Province,AF,34.5,62.0,26.0,29,0,4.1,07/15/20
Mount Isa,AU,-20.73,139.5,22.0,21,0,6.2,07/15/20
Erenhot,CN,43.65,111.98,28.38,35,69,4.91,07/15/20
Codrington,AU,-38.27,141.97,11.86,71,0,2.15,07/15/20
Susa,IR,32.19,48.24,28.15,16,0,2.81,07/15/20
Husavik,IS,66.04,-17.34,11.0,87,90,2.1,07/15/20
Port Keats,AU,-14.25,129.55,27.9,32,0,3.45,07/15/20
Yar-Sale,RU,66.83,70.83,10.41,69,54,8.97,07/15/20
Roald,NO,62.58,6.13,12.22,93,20,2.1,07/15/20
Sørkjosen,NO,69.8,20.93,13.48,67,85,1.35,07/15/20
San Miguel de Tucumán,AR,-26.82,-65.22,11.0,66,14,2.6,07/15/20
Korla,CN,41.76,86.15,25.56,65,2,5.23,07/15/20
Saint-Joseph,RE,-21.37,55.62,18.0,72,31,1.5,07/15/20
Sultepec,MX,18.87,-99.95,15.0,82,75,0.82,07/15/20
Boyolangu,ID,-8.12,111.89,25.73,79,89,3.72,07/15/20
Dossor,KZ,47.53,52.98,31.38,22,100,2.81,07/15/20
Ancud,CL,-41.87,-73.82,9.44,100,90,3.6,07/15/20
Yambio,SS,4.57,28.4,19.43,95,100,0.41,07/15/20
Puerto Colombia,CO,10.99,-74.95,28.0,78,0,4.1,07/15/20
Ulaanbaatar,MN,47.91,106.88,16.0,72,75,6.0,07/15/20
Atherton,GB,53.52,-2.49,14.44,96,97,2.68,07/15/20
Stary Krym,UA,45.03,35.1,14.26,58,0,2.24,07/15/20
Bogorodskoye,RU,56.55,37.88,12.58,98,99,1.51,07/15/20
Hailun,CN,47.45,126.93,28.66,64,0,4.33,07/15/20
Fortuna,US,40.6,-124.16,18.89,72,1,4.6,07/15/20
Povenets,RU,62.85,34.83,11.62,73,100,4.87,07/15/20
Dobrić,RS,44.7,19.58,19.0,82,58,2.6,07/15/20
Bolobo,CD,-2.17,16.23,22.67,82,44,0.85,07/15/20
Nome,US,64.5,-165.41,11.11,87,90,2.6,07/15/20
Benjamin Constant,BR,-4.38,-70.03,26.0,100,20,1.0,07/15/20
Bonavista,CA,48.65,-53.11,9.44,77,100,5.36,07/15/20
Bilma,NE,18.69,12.92,29.6,36,0,3.84,07/15/20
Bensonville,LR,6.45,-10.61,21.58,88,92,2.17,07/15/20
Mardin,TR,37.31,40.74,25.84,17,0,4.45,07/15/20
Luau,AO,-10.71,22.22,14.18,35,2,3.51,07/15/20
Saint-Augustin,CA,51.23,-58.65,10.74,74,0,1.54,07/15/20
Shakiso,ET,5.75,38.92,14.06,96,100,0.72,07/15/20
Marawi,PH,8.0,124.29,28.33,71,38,2.24,07/15/20
Caravelas,BR,-17.71,-39.25,21.9,87,23,4.59,07/15/20
Bambous Virieux,MU,-20.34,57.76,20.0,88,75,5.1,07/15/20
Faanui,PF,-16.48,-151.75,25.65,85,25,6.75,07/15/20
Vila Franca do Campo,PT,37.72,-25.43,19.0,72,40,5.1,07/15/20
Hirara,JP,24.8,125.28,32.0,70,75,11.3,07/15/20
Esmeraldas,BR,-19.76,-44.31,19.0,72,65,4.6,07/15/20
Muri,IN,23.37,85.87,27.0,94,75,1.0,07/15/20
Mildura,AU,-34.2,142.15,14.44,62,0,1.0,07/15/20
Ilebo,CD,-4.32,20.58,21.54,85,82,0.43,07/15/20
Kumul,CN,42.8,93.45,29.16,17,100,3.04,07/15/20
Chimbote,PE,-9.09,-78.58,16.46,87,86,4.42,07/15/20
Zaraza,VE,9.35,-65.32,23.19,94,1,2.05,07/15/20
Hambantota,LK,6.12,81.12,25.0,100,20,2.6,07/15/20
Mahibadhoo,MV,3.78,72.97,28.86,75,100,4.45,07/15/20
Svatove,UA,49.41,38.15,13.81,85,1,1.73,07/15/20
Zhigansk,RU,66.77,123.37,21.92,50,8,1.65,07/15/20
La Reforma,MX,18.1,-91.02,28.8,56,5,5.69,07/15/20
College,US,64.86,-147.8,23.0,43,75,5.7,07/15/20
Malaṅgawā,NP,26.86,85.56,30.01,71,3,5.34,07/15/20
Havøysund,NO,71.0,24.66,13.0,76,89,2.6,07/15/20
Colesberg,ZA,-30.72,25.1,-1.38,89,0,1.21,07/15/20
San Jose,US,37.34,-121.89,26.11,50,75,6.2,07/15/20
Guabito,PA,9.5,-82.62,25.77,80,55,1.44,07/15/20
Thinadhoo,MV,0.53,72.93,29.03,66,100,1.33,07/15/20
Astara,AZ,38.5,48.67,20.0,82,0,1.36,07/15/20
Hasaki,JP,35.73,140.83,22.78,83,75,3.1,07/15/20
Constitución,CL,-35.33,-72.42,11.52,89,79,3.02,07/15/20
Mufulira,ZM,-12.55,28.24,10.0,59,21,3.73,07/15/20
Dongying,CN,37.46,118.49,32.31,40,0,0.66,07/15/20
Srednekolymsk,RU,67.45,153.68,9.62,56,100,2.89,07/15/20
Biak,ID,-0.91,122.88,26.13,82,100,3.17,07/15/20
Ahipara,NZ,-35.17,173.17,17.41,83,100,3.54,07/15/20
San Ramon,US,37.78,-121.98,25.0,44,1,6.2,07/15/20
High Prairie,CA,55.43,-116.49,18.3,77,100,1.89,07/15/20
Takoradze,GH,4.88,-1.76,23.17,86,100,4.5,07/15/20
Khani,GE,41.96,42.96,21.0,94,75,1.0,07/15/20
Avera,US,33.19,-82.53,29.0,74,1,2.6,07/15/20
‘Ewa Beach,US,21.32,-158.01,31.0,48,75,4.6,07/15/20
Luang Prabang,LA,19.89,102.13,26.0,83,40,2.1,07/15/20
Santa Rosalía,MX,27.32,-112.28,33.48,32,0,1.8,07/15/20
Xifeng,CN,42.74,124.72,31.35,35,0,3.5,07/15/20
Mehamn,NO,71.04,27.85,12.99,73,49,2.55,07/15/20
Pedernales,DO,18.04,-71.74,27.05,73,17,1.51,07/15/20
Klaksvík,FO,62.23,-6.59,11.0,100,100,7.2,07/15/20
Saint George,US,37.1,-113.58,39.0,10,1,4.1,07/15/20
Bathsheba,BB,13.22,-59.52,28.0,74,40,5.7,07/15/20
Sanmenxia,CN,34.77,111.18,28.39,56,59,4.69,07/15/20
Kita,ML,13.03,-9.49,23.71,90,75,2.47,07/15/20
Portobelo,PA,9.55,-79.65,27.78,78,14,3.58,07/15/20
Byron Bay,AU,-28.65,153.62,18.89,48,0,6.7,07/15/20
Businga,CD,3.33,20.88,20.71,96,100,0.34,07/15/20
Kivsharivka,UA,49.62,37.7,13.58,87,51,1.65,07/15/20
Mutsu,JP,41.29,141.22,21.67,72,75,5.1,07/15/20
Tangwani,PK,28.28,69.0,33.0,70,40,2.79,07/15/20
Wamba,NG,8.93,8.6,21.91,96,100,0.93,07/15/20
Sept-Îles,CA,50.2,-66.38,15.0,87,20,1.77,07/15/20
Loralai,PK,30.37,68.6,27.17,44,0,1.72,07/15/20
